name,publisher,platforms,num_platforms,year_released,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Ace Combat: Assault Horizon,Namco Bandai Games,"[""PS3"", ""X360""]",2,2011,Action,0.6,0.27,0.25,0.11000000000000001,1.23,77.5,99,6.45,164,Project Aces,T
Ace Combat: Assault Horizon Legacy,Namco Bandai Games,"[""3DS""]",1,2011,Simulation,0.1,0.06,0.08,0.01,0.24,71,37,7.8,26,Project Aces,T
Ace Combat: Joint Assault,Namco Bandai Games,"[""PSP""]",1,2010,Simulation,0.06,0.05,0.15,0.03,0.29,71,30,7.2,12,Project Aces,T
Ace Combat X: Skies of Deception,Namco Bandai Games,"[""PSP""]",1,2006,Simulation,0.37,0.3,0.12,0.19,0.99,75,26,8.3,30,Project Aces,T
Ace Combat Zero: The Belkan War,Namco Bandai Games,"[""PS2""]",1,2006,Simulation,0.15,0.12,0.2,0.04,0.51,75,45,8.4,55,Namco,T
Achtung Panzer: Kharkov 1943,Mamba Games,"[""PC""]",1,2010,Strategy,0,0.01,0,0,0.02,70,6,8.3,20,Paradox Interactive,
Active Life: Outdoor Challenge,Atari,"[""Wii""]",1,2008,Sports,0.78,0.43,0.19,0.14,1.54,69,6,8.1,14,h.a.n.d. Inc.,E
Activision Anthology,Activision,"[""PS2""]",1,2002,Misc,0.25,0.19,0,0.06,0.5,75,13,7.7,6,Contraband Entertainment,E
Act of Aggression,Focus Home Interactive,"[""PC""]",1,2015,Strategy,0,0.01,0,0,0.01,71,37,7.1,93,Eugen Systems,
Advance Wars,Nintendo,"[""GBA""]",1,2001,Strategy,0.5,0.19,0,0.01,0.7,92,28,9,95,Intelligent Systems,E
Advance Wars 2: Black Hole Rising,Nintendo,"[""GBA""]",1,2003,Strategy,0.47,0.17,0,0.01,0.65,89,34,9.4,97,Intelligent Systems,E
Advance Wars: Days of Ruin,Nintendo,"[""DS""]",1,,Strategy,0.43,0.12,0,0.05,0.61,86,55,8.7,96,Intelligent Systems,E10+
Advance Wars: Dual Strike,Nintendo,"[""DS""]",1,2005,Strategy,0.3,0.02,0.04,0.03,0.39,90,49,9,163,Intelligent Systems,E
Advent Rising,THQ,"[""XB""]",1,2005,Action,0.1,0.03,0,0,0.13,68,50,7.5,68,GlyphX Games,T
Adventure Time: The Secret of the Nameless Kingdom,Little Orbit,"[""3DS"", ""X360""]",2,2014,Action,0,0.12000000000000001,0,0,0.14,61.5,10,6.55,12,WayForward,E10+
Aedis Eclipse: Generation of Chaos,Idea Factory,"[""PSP""]",1,2006,Role-Playing,0.02,0,0,0,0.02,62,20,6.5,11,"Neverland, Idea Factory",E10+
Aegis of Earth: Protonovus Assault,PQube,"[""PS4""]",1,2016,Action,0.02,0,0,0,0.03,57,11,7.8,9,Acquire,T
Aeon Flux,THQ,"[""PS2"", ""XB""]",2,2005,Action,0.03,0.02,0,0.01,0.05,67.5,46,4.4,13,Terminal Reality,T
Aero Elite: Combat Academy,Sega,"[""PS2""]",1,2002,Simulation,0.04,0.03,0,0.01,0.07,64,18,7,8,Sega AM2,E
Afrika,Unknown,"[""PS3""]",1,2008,Adventure,0.12,0,0.08,0.01,0.22,63,12,6.2,34,Rhino Studios,E10+
Afro Samurai,Atari,"[""PS3"", ""X360""]",2,2009,Action,0.28,0.1,0,0.05,0.44,65,122,6.15,84,"Namco Bandai Games America, Namco Bandai Games",M
A Game of Thrones: Genesis,Focus Home Interactive,"[""PC""]",1,2011,Strategy,0,0.03,0,0.01,0.03,53,40,4,110,Cyanide,
Agatha Christie: And Then There Were None,The Adventure Company,"[""Wii""]",1,2008,Adventure,0.06,0.01,0,0.01,0.07,50,23,6.2,12,AWE Games,T
